databaseId	name	imageUrl	cardBack	type	packName	deckbuilderQuantity	setUuid	numberInPack	faction	cardsubtype	cost	destiny	supportcost	energy	power	tactics	defense	text	lore
cb28d351-1d48-468d-adcb-62a712b0bd0e	Collaborative Strike	https://warstcg.org//img/1/WARS-EN01011.jpg	normal	INTERRUPT	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1C11	Earther	INTERRUPT (Used)	0	5	1 Earther					"Until end of turn, make target unit that has a weapon beneath it you have in a site battle power +4 and defense +4."	“On my count – engage and fire!”
83d77d2f-ed94-4847-b4c2-6e4c8f3bde63	Commerce Authority Fighter	https://warstcg.org//img/1/WARS-EN01012.jpg	normal	SHIP	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U12	Earther	SHIP (Capacity 1) • iCom • Fighter	3	4	1 Earther		2	1	5	Each interrupt your opponent plays during a battle here costs 1 more energy to play.	The Commerce Authority division of iCom ensures that Earther merchant ships are well- protected – and taxed accordingly.
2e59a921-a4d1-447f-85df-c4db8b325a2d	Consigned Trooper	https://warstcg.org//img/1/WARS-EN01013.jpg	normal	CHARACTER	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1C13	Earther	CHARACTER • CGC • Warrior • Unit	2	4	1 Earther		1	1	3	"As long as this character is at a site where you have a vehicle, this character is power +2."	Juggernauts deliver troops quickly to the battle zone.
bb76e47e-4cd8-4387-aefd-f947fde33d53	Consultation	https://warstcg.org//img/1/WARS-EN01014.jpg	normal	INTERRUPT	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R14	Earther	INTERRUPT (Lost)	3	5	3 Earther					You may play this interrupt only during your move phase. Destroy target vehicle at a site where you have a higher total tactics than your opponent.	Howler isn’t afraid to call in a favor from his ally Horatio Hicks.
cb17b8f1-48ab-4e3f-be5d-c5a7fe3d4943	Crossfire	https://warstcg.org//img/1/WARS-EN01015.jpg	normal	INTERRUPT	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R15	Earther	INTERRUPT (Used)	1	3	1 Earther					You may play this interrupt only during a site battle. You cause attrition +1 in that battle for each of your warriors in that battle.	One gun equals defense. Twenty guns equal victory.
9c185b0c-b94d-475b-86e8-532511eff118	Disruption	https://warstcg.org//img/1/WARS-EN01016.jpg	normal	INTERRUPT	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R16	Earther	INTERRUPT (Lost)	1	5	2 Earther					You can’t play this interrupt unless you have a kizen at a location. Cancel target pending activated ability.	Stress and danger often reveal the changes wrought by proximity to the rift.
c4437caa-fa73-4da8-a27a-d0d11e9f66d8	Entrenched Infantry	https://warstcg.org//img/1/WARS-EN01017.jpg	normal	CHARACTER	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U17	Earther	CHARACTER • CGC • Warrior • Unit	3	3	3 Earther		3	5	6	"As long as this character is at a site, as an additional cost for a player to play a unit here, that player loses 2 energy. Each time you drain here, if this character is at a site, you lose 2 energy."	Infantry soldiers have little choice but to trust the experience of their commanders. Earther troops are among the most battle-tested of the human factions.
16333cc8-3f3f-4d35-8e21-84dd9571f35f	Escort Cruiser	https://warstcg.org//img/1/WARS-EN01018.jpg	normal	SHIP	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1C18	Earther	SHIP (Capacity 2) • iCom • Capital	6	2	2 Earther		5	2	8	You cause attrition +1 here for each related site where you have a vehicle.	Escort cruisers accompany battleships to provide protection for the more expensive ships.
df53277b-5fec-4094-ad22-563c9790aed6	F.L.I.C.	https://warstcg.org//img/1/WARS-EN01019.jpg	normal	WEAPON	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U19	Earther	WEAPON (Character) • Ranged	1	4	1 Earther					"As long as this character is at a site, you cause attrition +1 here. • Pay 1 energy ? Choose target unit your opponent has in a site battle here. Damage target if its defense < [D] + the number of warriors you have here."	Fusion Light Infantry Cannons are the latest development from FedGrav’s armament division.
588aefa7-b4d7-4085-8d44-8937e05a3195	Fighter Support	https://warstcg.org//img/1/WARS-EN01020.jpg	normal	ASSET	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U20	Earther	ASSET (Site)	4	2	1 Earther					"You may play this asset beneath one of your opponent’s sites. At the end of the battle destiny step of each battle at a related site, make your battle destiny in that battle +[D]. When your opponent controls this site, dismiss this asset."	Combat gurus vector Earther fighters to ensure that ground troops do not come under fire from above.
fd06e215-38c5-4770-9084-010e684dfa49	Fire for Effect	https://warstcg.org//img/1/WARS-EN01021.jpg	normal	INTERRUPT	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U21	Earther	INTERRUPT (Lost)	0	6	1 Earther					"Until end of turn, each of your opponent’s drains at a site related to a site where you have a vehicle is –1."	"""If brute force isn’t working, consider that you might not be using enough.” – FedGrav Officer’s Manual"
37941a45-547f-455a-9731-7c93488a98a3	First Aid	https://warstcg.org//img/1/WARS-EN01022.jpg	normal	ASSET	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U22	Earther	ASSET	1	4	2 Earther					"• Pay 4 energy ? The next time your target unit would be destroyed this turn, prevent that and, if it’s damaged, undamage it."	"Extraorbital Laboratories (XeLabs) provides medical service to other Earther corporations – for the right price, of course."
bd5d28f2-afcd-46a9-b8a3-e83a68942b62	Grade 7 Fluid Laser	https://warstcg.org//img/1/WARS-EN01023.jpg	normal	WEAPON	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U23	Earther	WEAPON (Capital) • Ranged	2	2	2 Earther					You cause attrition +2 here. • Pay 1 energy ? Choose target ship your opponent has in a sector battle here. Damage target if its defense < [D] + the number of capitals you have here.	"Among all Earther ships, only the drive system of a capital can meet the power requirements of a Grade 7."
cf617ad3-9135-4511-b020-43ac9f744ed7	Grav Operator	https://warstcg.org//img/1/WARS-EN01024.jpg	normal	CHARACTER	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U24	Earther	CHARACTER • FedGrav • Warrior • Unit	2	5	2 Earther		1	1	2	"As long as this character is at a site where you have a unit that has tactics >4, this character is power +4."	"Grav operators are counted on for timely responses during engagements, aiding in both defensive and offensive maneuvers."
59f05892-bfcc-4e5e-a788-22315cd71c53	GR-Blade	https://warstcg.org//img/1/WARS-EN01025.jpg	normal	VEHICLE	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1C25	Earther	VEHICLE • FedGrav • Unit	2	2	1 Earther		3	2	2	"Size 2 (This vehicle counts twice against a ship’s capacity.) Transport 1 (Each time this vehicle moves, you may move with it one of your characters.) Pay 4 energy ? If this vehicle is in a site battle, make your battle destiny +2 in that battle."	Earther infantry is escorted by close support craft. These Blades are able to maneuver quickly and deliver heavy firepower.
e02cbe15-b4a9-4864-abd1-b4ba1fad7e3c	Heavy Juggernaut	https://warstcg.org//img/1/WARS-EN01026.jpg	normal	VEHICLE	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U26	Earther	VEHICLE • FedGrav • Unit	3	1	2 Earther		7	2	5	"Size 2 (This vehicle counts twice against a ship’s capacity.) Transport 1 (Each time this vehicle moves, you may move with it one of your characters.) When this vehicle enters play, dismiss a unit here."	FedGrav originally designed juggernauts in response to losses Earthers suffered at the hands of Gongen NoBots.
f475885b-7840-4e97-ae6f-2c1b4ef87e1e	?Horatio Hicks	https://warstcg.org//img/1/WARS-EN01027.jpg	normal	CHARACTER	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R27	Earther	CHARACTER • Kizen • iCom • Unit	5	3	3 Earther		4	6	4	"Piloting 3 (As long as this character is aboard a ship, that ship is power +3 and tactics +3.) • Pay 3 energy ? This character is immune to attrition until end of turn."	"Hicks is the leader every Earther wants to be – and everyone else wants to kill. He’s seen a lot of action, and it has made him a stoic and composed commander."
05395899-3d06-4c0e-b0bb-7ce0f46989eb	•Hostilities Unleashed	https://warstcg.org//img/1/WARS-EN01028.jpg	normal	INTERRUPT	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R28	Earther	INTERRUPT (Lost)	2	6	3 Earther					You may play this interrupt only when you could perform an attack. Perform an attack at no cost at target location where a battle has already taken place this turn.	“Victory belongs to the most persevering.” – Napoleon Bonaparte
e910276c-bbcd-4bec-ab4a-16e28d06b4c9	?Howler's Blades	https://warstcg.org//img/1/WARS-EN01029.jpg	normal	VEHICLE	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R29	Earther	VEHICLE • FedGrav • Unit	4	2	2 Earther		8	2	7	"Size 2 (This vehicle counts twice against a ship’s capacity.) Transport 1 (Each time this vehicle moves, you may move with it one of your characters.) When this vehicle enters play, dismiss a unit here."	"The members of Howler’s Blade wing do not feel allegiance to FedGrav, but rather to Howler. They are always on alert for his call to action."
3d681520-08d8-408e-818e-2c3e8f1877f7	?Inca 1	https://warstcg.org//img/1/WARS-EN01030.jpg	normal	SHIP	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R30	Earther	SHIP (Capacity 1) • iCom • Fighter	2	4	1 Earther		2	1	5	Each unit you play aboard this ship that has piloting costs 2 less energy to play.	"Inca 1 is a prototype for a new design of Earther fighters. Her schematics call for many internal advancements, while maintaining the same basic external design."
c5c3ec6b-d6e3-40d6-a42d-18078bd7455d	?Inca 2	https://warstcg.org//img/1/WARS-EN01031.jpg	normal	SHIP	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R31	Earther	SHIP (Capacity 1) • iCom • Fighter	3	6	2 Earther		2	1	5	"As long as you have a unit that has piloting aboard this ship, you cause attrition +2 here."	"Like her sister ship Inca 1, Inca 2 is deceptively similar to older Earther fighters. It’s all part of the plan to shield design advancement from the enemy."
d4d243f9-aa0d-4d85-a30a-56bbd099b2a8	Infantry Officer	https://warstcg.org//img/1/WARS-EN01032.jpg	normal	CHARACTER	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1C32	Earther	CHARACTER • CGC • Warrior • Unit	3	3	1 Earther		1	2	4	"As long as this character is at a site where you have a character that has tactics >2, this character is power +2."	The mantra of officers such as Rayne Leclere: “Those who don’t follow orders are traitors to the cause.”
88b6a2cb-8fe0-4c8b-b64d-a16b3f5f52ce	Infantry Support Vehicle	https://warstcg.org//img/1/WARS-EN01033.jpg	normal	VEHICLE	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1C33	Earther	VEHICLE • FedGrav • Unit	3	2	1 Earther		3	1	6	"Size 2 (This vehicle counts twice against a ship’s capacity.) Transport 1 (Each time this vehicle moves, you may move with it one of your characters.) Pay 2 energy ? If this vehicle is at a site adjacent to a site battle, move it to the location of that battle."	Earther forces have developed many mobile weapons platforms. They are used during ground battles as well as assaults on fixed enemy positions.
072f0686-757f-40b6-acfa-23e2d872aee4	?Ivan McCarr	https://warstcg.org//img/1/WARS-EN01034.jpg	normal	CHARACTER	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U34	Earther	CHARACTER • CISyn • Infiltrator • Unit	4	4	3 Earther		0	2	0	"As an additional cost for your opponent to use a support icon here, he or she pays 1 energy."	McCarr mastered his craft as a Gongen agent. The Coordination and Intelligence Syndicate proved that his loyalty could be bought.
480e585b-0e72-4a1d-bd5c-216a238bb769	?James Howler	https://warstcg.org//img/1/WARS-EN01035.jpg	normal	CHARACTER	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R35	Earther	CHARACTER • Kizen • CGC • Unit	5	3	3 Earther		4	4	6	• Pay 3 energy ? This character is immune to attrition until end of turn. You cause attrition +1 in each site battle here for each of your vehicles here.	"A third generation military leader, Howler is surprised by nothing in battle. Death does not scare him – the thought of not fulfilling his destiny does."
d802370b-8d81-4675-84c8-c8958b0e7403	Juggernaut Tender	https://warstcg.org//img/1/WARS-EN01036.jpg	normal	SHIP	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U36	Earther	SHIP (Capacity 8) • iCom • Capital	3	4	2 Earther		3	2	5	Each movement targeting a unit aboard this ship costs 1 less energy to perform. • Pay 3 energy ? Move target vehicle from aboard this ship to a related site.	Earther transports have the capability to rapidly deploy large numbers of juggernauts to hot zones.
0e9d1563-eec2-4206-9b46-35762b6fe3b2	Level II Guru	https://warstcg.org//img/1/WARS-EN01037.jpg	normal	CHARACTER	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1C37	Earther	CHARACTER • CISyn • Tech • Unit	3	4	2 Earther		1	2	3	You cause attrition +1 in each site battle here for each of your units here that has tactics > 2.	Jannett Yens is a Level II battle coordinator. She used to carry a rifle – now she tells others where to fire them.
679d4d81-4784-458b-965a-7c30a49e1215	LongBow Missile 27-B	https://warstcg.org//img/1/WARS-EN01038.jpg	normal	WEAPON	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U38	Earther	WEAPON (Ship) • Ranged	1	4	1 Earther					You cause attrition +1 here. • Pay 1 energy ? Choose target ship your opponent has in a sector battle here. Damage target if its defense < [D] + the number of fighters you have here.	Type IV fighters are equipped with multiple missile ports. LongBows are the standard loadout.
f84280e0-d77c-4234-ace3-17d25a81d0cd	Luna Garrison Fighter	https://warstcg.org//img/1/WARS-EN01039.jpg	normal	SHIP	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1C39	Earther	SHIP (Capacity 1) • iCom • Fighter	3	3	1 Earther		2	1	5	"As long as this ship is at a sector that has ""Luna"" in its title, this ship is power +2, tactics +1, and defense +2."	Luna Garrison pilots operate the first generation of Type IV fighters.
2aba408b-5333-41c6-b484-fde1f3a724ae	Orbital Bombardment	https://warstcg.org//img/1/WARS-EN01040.jpg	normal	ASSET	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U40	Earther	ASSET (Site)	1	4	2 Earther					You may play this asset beneath one of your opponent’s sites. • Lose 2 energy ? Choose target unit in a battle here and target related sector. Damage that unit if its defense < [D] + the total tactics of your ships at that sector.	The CGC pays a handsome “bullseye bonus” to iCom for accuracy during orbital bombardments.
53ee1834-3cf2-46a1-a61d-862f99403b79	Orbital Coverage	https://warstcg.org//img/1/WARS-EN01041.jpg	normal	ASSET	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U41	Earther	ASSET (Sector)	2	1	2 Earther					"You may play this asset beneath one of your opponent’s sectors. Each time you lose a battle at a related site, you may lose 5 energy. If you do, reduce your casualties in that battle to 0. When your opponent controls this sector, dismiss this asset."	The ships of iCom act as eyes and ears for CGC’s troops on the ground.
9fe08de9-56de-4a89-85ce-5b960932259c	?Pavel Royerk	https://warstcg.org//img/1/WARS-EN01042.jpg	normal	CHARACTER	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U42	Earther	CHARACTER • CISyn • Infiltrator • Unit	1	1	2 Earther		2	3	3	The first movement targeting this character each turn costs 1 less energy to perform.	"Royerk is always the one for the job, no matter the odds."
c91d3a8c-3d57-406b-90c5-50a8cfa95390	Shift in Tactics	https://warstcg.org//img/1/WARS-EN01043.jpg	normal	INTERRUPT	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R43	Earther	INTERRUPT (Lost)	0	5	1 Earther					"You may play this interrupt only during a battle, before the battle destiny step. The next time you would reveal a card for battle destiny, make your battle destiny +X instead, where X is the tactics of target unit you have in this battle."	“Abort Attack Plan Foxtrot. Move to the left of the landing pad – and hit them hard!”
9b93b78d-e6a2-4cdb-9745-6f50473066ec	Sidearm	https://warstcg.org//img/1/WARS-EN01044.jpg	normal	WEAPON	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R44	Earther	WEAPON (Character) • Ranged	0	4	2 Earther					"As long as this character is at a site, you cause attrition +1 here. • Pay 3 energy ? Choose target unit your opponent has in a site battle here. Damage target if its defense < [D] + this character’s tactics."	Earther troops are well-trained in firing small weapons. James Howler is among the best of the Earther marksmen.
101774c2-fc1f-4147-be71-6bd4c9ac3b06	Slippery	https://warstcg.org//img/1/WARS-EN01045.jpg	normal	ASSET	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R45	Earther	ASSET (Character Infiltrator)	2	1	2 Earther					"As long as this character is at a site, this character gains the ability: “As long as each of your units here is an infiltrator, neither player can attack here.” Pay 3 energy ? Put this character in its owner’s hand."	A good infiltrator knows when it’s time to find the exit.
2044b80d-84e6-4bda-8e41-a93941180a80	State of Readiness	https://warstcg.org//img/1/WARS-EN01046.jpg	normal	INTERRUPT	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U46	Earther	INTERRUPT (Used)	1	2	1 Earther					You may play this interrupt only during a battle at a site where you have at least four warriors. Make your battle destiny in that battle +[D].	The members of Earth’s cavalry have been trained to operate as one.
34a871b1-aa33-4745-9181-0dc0b4856065	Sudden Approach	https://warstcg.org//img/1/WARS-EN01047.jpg	normal	INTERRUPT	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U47	Earther	INTERRUPT (Used)	1	5	1 Earther					Target pending unit can’t move until end of turn.	Sometimes surprise is more effective than firepower.
eddda08d-d85f-4e01-a648-0c278b254d84	Survey Cruiser	https://warstcg.org//img/1/WARS-EN01048.jpg	normal	SHIP	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1C48	Earther	SHIP (Capacity 2) • iCom • Capital	5	1	2 Earther		4	2	8	You cause attrition +1 at each related site.	"Cruisers are used by Earthers to keep watch for enemy vehicles, as well as for deployment of special operations forces."
999bcf2e-529f-4978-ae18-b4a5866609b2	•Syndicate Interference	https://warstcg.org//img/1/WARS-EN01049.jpg	normal	INTERRUPT	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R49	Earther	INTERRUPT (Used)	2	4	1 Earther					"For each of your opponent’s units at the site of target pending drain, he or she chooses to pay 1 energy or dismiss that unit."	Ivan McCarr’s services are expensive – but some things are worth the price.
88d3824c-daaa-435b-8a89-f7cf054ce719	Untapped Mettle	https://warstcg.org//img/1/WARS-EN01050.jpg	normal	ASSET	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R50	Earther	ASSET (Kizen)	1	3	2 Earther					"You can’t play more than one of this asset beneath the same kizen. Dismiss this asset ? Until end of turn, make this kizen power +3 and you cause attrition +2 here."	"For many, only deadly peril exposes true potential."
e8c6308f-cd80-454a-a0d4-0ad1f7b778a5	Untold Power of Visions	https://warstcg.org//img/1/WARS-EN01051.jpg	normal	ASSET	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R51	Earther	ASSET (Kizen)	0	6	2 Earther					"You can’t play more than one of this asset beneath the same kizen. • Pay 1 energy ? Examine the top two cards of target player’s reserve. Return one of them, then put the other on top of that player’s used pile."	The benefits Jossel Swin provides for Earth are without measure – his unbalanced mind has the invaluable gift of foresight.
2381f839-5d39-4021-8aa5-9bb6d5138199	Vanguard Trooper	https://warstcg.org//img/1/WARS-EN01052.jpg	normal	CHARACTER	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R52	Earther	CHARACTER • CGC • Warrior • Unit	3	4	1 Earther		1	1	3	Pay 0 energy ? Play a unit at a related site. That unit costs 1 less energy to play. You may use this ability only during your deploy phase.	CGC vanguard troopers are trained from birth to love both the money they make and the company for which they fight.
d8f20c13-319c-4073-85d5-f0d68fefd9ab	Venus Garrison Fighter	https://warstcg.org//img/1/WARS-EN01053.jpg	normal	SHIP	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1C53	Earther	SHIP (Capacity 1) • XeLabs • Fighter	3	3	1 Earther		2	1	5	"As long as this ship is at a sector that has ""Venus"" in its title, this ship is power +2, tactics +1, and defense +2."	"Most Earther colonies contract with iCom for protection, but XeLabs uses this custom garrison fighter to protect their classified work on Venus."
cdee4a41-6bc0-443b-aef3-69b1746c26a5	Veteran Pilot	https://warstcg.org//img/1/WARS-EN01054.jpg	normal	CHARACTER	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U54	Earther	CHARACTER • iCom • Unit	2	2	1 Earther		1	2	3	"Piloting 1 (As long as this character is aboard a ship, that ship is power +1 and tactics +1.) Pay 4 energy ? If this character is aboard a fighter, target ship here can’t move until end of turn."	Pilots like Tiandre Sulson would sooner give up their lives than move their ships out of battle position. Earther pilots are known for their tenacity.
38bfaa4b-45c4-42bf-ae92-3511c5eafbbd	Zealous Squad	https://warstcg.org//img/1/WARS-EN01055.jpg	normal	CHARACTER	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1C55	Earther	CHARACTER • CGC • Warrior • Unit	2	3	2 Earther		6	2	2	"When this character enters play, dismiss a unit here."	"“The day shall come when our noble cause will become truth. Until then, Earthers must be willing to sacrifice all they have.” – James Howler, 2388"
565d3edc-7e77-42d7-af28-f870a8fc28d2	Amorian Shipyard	https://warstcg.org//img/1/WARS-EN01056.jpg	normal	ASSET	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R56	Gongen	ASSET	0	5	2 Gongen					"Each time one of your fighters is lost from a battle, if there are no cards stacked on this asset, you may stack that fighter on this asset. Pay 2 energy ? Play a fighter stacked on this asset at full cost to an asteroid sector. You may use this ability only during your deploy phase."	Hidden assets in the Belt provide rapid replenishment to Tenno fighter forces – a threat that the iCom fleet takes very seriously.
9763e62a-4aad-4373-a929-43fd709b1fd6	Ancestral Garden	https://warstcg.org//img/1/WARS-EN01057.jpg	normal	ORDER	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R57	Gongen	ORDER (Lost)	0	4	2 Gongen					Play target character from your lost pile at full cost who has tactics < your target kizen’s tactics.	"The past, properly nurtured, gives strength."
8ef3f3e1-cad5-4cb4-a0ce-fcb7ed281dde	Carrier Screen	https://warstcg.org//img/1/WARS-EN01058.jpg	normal	ASSET	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1R58	Gongen	ASSET (Location)	3	5	3 Gongen					"You may play this asset beneath one of your opponent’s locations. You can’t play more than one of this asset beneath the same location. Your opponent’s battle destiny in a battle here is – 3. When your opponent controls this location, dismiss this asset."	Guardian-class carriers are assigned to defend the most important holdings of the Gongen. Their complement of fighters makes them extremely formidable.
128b9ce5-7bd2-403c-840d-6eb1a369ead7	Chijo Katana	https://warstcg.org//img/1/WARS-EN01059.jpg	normal	WEAPON	Incursion	4	d49b7fa3-163b-4e9c-9e32-69f47d4363d4	1U59	Gongen	WEAPON (Kizen) • Melee	1	2	2 Gongen					"This kizen can’t be damaged. • Pay 1 energy ? Choose target unit your opponent has in a site battle here. Reveal the top two cards of your reserve, choose one and note its destiny, then put them on top of your used pile in any order. Damage target if its defense < that destiny."	"To symbolize the new beginnings, many swords transported from Earth were reforged. Most seem to have picked up a reddish glint, perhaps from the spirit of the planet."
